Ortholog	Version	Category	Description
COG0532	5.0	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
COG0682	5.0	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins
COG0682	5.0	M	lipoprotein biosynthetic process
COG0109	5.0	O	protoheme IX farnesyltransferase activity
COG0109	5.0	O	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group
COG3395	5.0	C	kinase activity
COG3395	5.0	S	kinase activity
COG0158	5.0	G	D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1
COG0158	5.0	G	fructose 1,6-bisphosphate 1-phosphatase activity
COG0443	5.0	O	Heat shock 70 kDa protein
COG0443	5.0	O	unfolded protein binding
COG1012	5.0	C	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
COG1012	5.0	C	belongs to the aldehyde dehydrogenase family
310WH	5.0	K	Functions in complex with FlhD as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region. Activates expression of class 2 flagellar genes, including fliA, which is a flagellum-specific sigma factor that turns on the class 3 genes. Also regulates genes whose products function in a variety of physiological pathways
COG2332	5.0	O	protein-heme linkage
COG2332	5.0	O	Heme chaperone required for the biogenesis of c-type cytochromes. Transiently binds heme delivered by CcmC and transfers the heme to apo-cytochromes in a process facilitated by CcmF and CcmH
COG3158	5.0	P	transport of potassium into the cell
COG3158	5.0	P	potassium ion transmembrane transporter activity
COG0492	5.0	C	ferredoxin-NADP+ reductase activity
COG2877	5.0	M	3-deoxy-8-phosphooctulonate synthase activity
COG0320	5.0	H	lipoate synthase activity
COG0320	5.0	H	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
COG1816	5.0	F	Catalyzes the hydrolytic deamination of adenine to hypoxanthine. Plays an important role in the purine salvage pathway and in nitrogen catabolism
COG1816	5.0	F	deaminase activity
COG2171	5.0	E	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity
COG2171	5.0	E	N-acyltransferase activity
COG2919	5.0	D	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic
COG2919	5.0	D	cell cycle
COG3284	5.0	KQ	Transcriptional regulator
COG3284	5.0	KQ	transcription factor binding
COG0057	5.0	G	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
COG0057	5.0	G	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity
COG0712	5.0	C	proton-transporting ATP synthase activity, rotational mechanism
COG0712	5.0	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
COG1181	5.0	F	D-alanine-D-alanine ligase activity
COG1181	5.0	F	Belongs to the D-alanine--D-alanine ligase family
COG0154	5.0	J	amidase activity
COG0637	5.0	M	HAD-superfamily hydrolase subfamily IA, variant 3
COG0637	5.0	S	phosphonoacetaldehyde hydrolase activity
COG1212	5.0	M	Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria
COG1212	5.0	M	3-deoxy-manno-octulosonate cytidylyltransferase activity
COG0039	5.0	C	L-malate dehydrogenase activity
COG2515	5.0	E	1-aminocyclopropane-1-carboxylate deaminase
COG2515	5.0	E	1-aminocyclopropane-1-carboxylate deaminase activity
COG0191	5.0	G	fructose-bisphosphate aldolase activity
COG1740	5.0	C	oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor
COG0546	5.0	O	phosphoglycolate phosphatase activity
COG0546	5.0	S	glycolate biosynthetic process
COG2924	5.0	CO	iron ion binding
COG2924	5.0	CO	Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes
COG0050	5.0	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
COG0050	5.0	J	translation elongation factor activity
COG0743	5.0	I	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
COG0296	5.0	G	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position
COG0296	5.0	G	1,4-alpha-glucan branching enzyme activity
COG1965	5.0	P	ferric iron binding
COG1965	5.0	P	Belongs to the frataxin family
COG1135	5.0	P	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system
COG1135	5.0	P	methionine transport
COG0332	5.0	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
COG0332	5.0	I	beta-ketoacyl-acyl-carrier-protein synthase III activity
COG0010	5.0	E	Belongs to the arginase family
COG0010	5.0	E	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
COG0266	5.0	L	class I DNA-(apurinic or apyrimidinic site) endonuclease activity
COG2021	5.0	E	O-acyltransferase activity
COG2021	5.0	E	Transfers an acetyl group from acetyl-CoA to L- homoserine, forming acetyl-L-homoserine
COG0245	5.0	I	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
COG0249	5.0	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity
COG0249	5.0	L	mismatched DNA binding
COG0649	5.0	C	quinone binding
COG0649	5.0	C	NAD binding
2Z8QU	5.0	M	Participates in the degradation of poly-3- hydroxybutyrate (PHB). It works downstream of poly(3- hydroxybutyrate) depolymerase, hydrolyzing D(-)-3-hydroxybutyrate oligomers of various length (3HB-oligomers) into 3HB-monomers
COG0680	5.0	C	Initiates the rapid degradation of small, acid-soluble proteins during spore germination
COG0680	5.0	C	spore germination
COG0298	5.0	O	carbon dioxide binding
COG0321	5.0	H	lipoyl(octanoyl) transferase activity
COG0374	5.0	C	oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor
COG0374	5.0	C	Belongs to the NiFe NiFeSe hydrogenase large subunit family
COG0107	5.0	E	imidazoleglycerol-phosphate synthase activity
COG0620	5.0	E	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
COG0620	5.0	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation
COG1254	5.0	C	acylphosphatase activity
COG1254	5.0	C	Belongs to the acylphosphatase family
COG0064	5.0	J	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
COG0064	5.0	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
COG0253	5.0	E	diaminopimelate epimerase activity
COG0253	5.0	E	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan
COG0409	5.0	O	Hydrogenase expression formation protein
COG0409	5.0	O	carbon monoxide binding
COG0774	5.0	M	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
COG1526	5.0	C	Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH
COG1526	5.0	C	Mo-molybdopterin cofactor metabolic process
COG1043	5.0	M	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
COG1043	5.0	M	involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
COG1273	5.0	S	double-strand break repair via nonhomologous end joining
COG1273	5.0	M	With LigD forms a non-homologous end joining (NHEJ) DNA repair enzyme, which repairs dsDNA breaks with reduced fidelity. Binds linear dsDNA with 5'- and 3'- overhangs but not closed circular dsDNA nor ssDNA. Recruits and stimulates the ligase activity of LigD
COG0326	5.0	O	Molecular chaperone. Has ATPase activity
COG0326	5.0	O	unfolded protein binding
COG0361	5.0	J	translation initiation factor activity
COG0361	5.0	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex
COG0593	5.0	L	DNA replication origin binding
COG0593	5.0	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
COG2084	5.0	I	Dehydrogenase
COG2084	5.0	I	phosphogluconate dehydrogenase (decarboxylating) activity
COG2935	5.0	O	proteasome-mediated ubiquitin-dependent protein catabolic process
COG2935	5.0	O	arginyltransferase activity
COG0787	5.0	E	alanine racemase activity
COG0787	5.0	E	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids
COG1490	5.0	J	D-aminoacyl-tRNA deacylase activity
COG0068	5.0	O	Along with HypE, it catalyzes the synthesis of the CN ligands of the active site iron of NiFe -hydrogenases using carbamoylphosphate as a substrate. It functions as a carbamoyl transferase using carbamoylphosphate as a substrate and transferring the carboxamido moiety in an ATP-dependent reaction to the thiolate of the C-terminal cysteine of HypE yielding a protein-S-carboxamide
COG0068	5.0	O	protein carbamoylation
COG0481	5.0	M	GTPase activity
COG0597	5.0	MU	aspartic-type endopeptidase activity
COG0597	5.0	MU	This protein specifically catalyzes the removal of signal peptides from prolipoproteins
COG0378	5.0	KO	Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG
COG0378	5.0	KO	nickel cation binding
COG1220	5.0	O	this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis
COG1220	5.0	O	peptidase activity, acting on L-amino acid peptides
COG0119	5.0	E	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
COG0119	5.0	E	Belongs to the alpha-IPM synthase homocitrate synthase family
COG0713	5.0	C	ATP synthesis coupled electron transport
COG1712	5.0	T	Catalyzes the reversible NADPH-dependent reductive amination of L-2-amino-6-oxopimelate, the acyclic form of L- tetrahydrodipicolinate, to generate the meso compound, D,L-2,6- diaminopimelate
COG1712	5.0	S	aspartate dehydrogenase activity
COG0707	5.0	M	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)
COG0707	5.0	M	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
COG3705	5.0	E	Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine
COG3705	5.0	E	histidine biosynthetic process
COG0125	5.0	F	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis
COG0125	5.0	F	dTDP biosynthetic process
COG0126	5.0	F	phosphoglycerate kinase activity
COG3604	5.0	KT	Transcriptional regulator
COG3604	5.0	KT	transcription factor binding
COG0040	5.0	E	ATP phosphoribosyltransferase activity
COG0040	5.0	F	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of hisG enzymatic activity
COG1663	5.0	M	tetraacyldisaccharide 4'-kinase activity
COG0851	5.0	D	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell
COG0851	5.0	D	regulation of division septum assembly
COG3895	5.0	S	lysozyme inhibitor activity
COG3895	5.0	O	Periplasmic Protein
COG1995	5.0	H	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)
COG1995	5.0	H	4-hydroxythreonine-4-phosphate dehydrogenase activity
COG0259	5.0	H	pyridoxamine-phosphate oxidase activity
COG0309	5.0	O	peptidyl-S-carbamoyl-L-cysteine dehydration
COG0309	5.0	O	Hydrogenase expression formation protein (HypE)
COG0373	5.0	H	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA)
COG0373	5.0	H	glutamyl-tRNA reductase activity
COG2055	5.0	C	3-dehydro-L-gulonate 2-dehydrogenase activity
COG2055	5.0	C	Belongs to the LDH2 MDH2 oxidoreductase family
COG0764	5.0	I	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
COG0324	5.0	J	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)
COG0324	5.0	J	tRNA dimethylallyltransferase activity
COG0042	5.0	J	tRNA dihydrouridine synthase activity
COG0042	5.0	J	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
COG2834	5.0	M	lipoprotein transporter activity
COG2834	5.0	M	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane)
COG1469	5.0	H	GTP cyclohydrolase I activity
COG1469	5.0	S	GTP cyclohydrolase activity
COG0148	5.0	G	phosphopyruvate hydratase activity
COG0192	5.0	H	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme
COG0192	5.0	H	methionine adenosyltransferase activity
COG0001	5.0	H	glutamate-1-semialdehyde 2,1-aminomutase activity
COG1773	5.0	C	iron ion binding
COG1773	5.0	C	rubredoxin
COG0526	5.0	CO	COG0526, thiol-disulfide isomerase and thioredoxins
COG0526	5.0	CO	cell redox homeostasis
COG1894	5.0	C	FMN binding
COG1894	5.0	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain
COG0289	5.0	E	4-hydroxy-tetrahydrodipicolinate reductase
COG1941	5.0	C	NADH ubiquinone oxidoreductase 20 kDa subunit
COG1941	5.0	C	coenzyme F420 hydrogenase activity
COG1182	5.0	I	Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity
COG1182	5.0	I	oxidoreductase activity, acting on other nitrogenous compounds as donors
COG1806	5.0	L	Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the
COG1806	5.0	S	protein serine/threonine kinase activity
COG0139	5.0	E	Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP
COG0139	5.0	E	phosphoribosyl-AMP cyclohydrolase activity
COG3638	5.0	P	ATPase-coupled organic phosphonate transmembrane transporter activity
