## Mon Jun 14 10:31:56 2021
## emapper-2.1.4-2
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --data_dir /dev/shm/ -o out --output_dir /data/shared/emapper_jobs/user_data/MM_2rpcpd43 --temp_dir /data/shared/emapper_jobs/user_data/MM_2rpcpd43 --override -m diamond -i /data/shared/emapper_jobs/user_data/MM_2rpcpd43/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
tr|A0A4P6X820|A0A4P6X820_HYDPS	232721.Ajs_0729	0.0	1094.0	COG5009@1|root,COG5009@2|Bacteria,1MU5A@1224|Proteobacteria,2VHXF@28216|Betaproteobacteria,4AA8D@80864|Comamonadaceae	28216|Betaproteobacteria	M	TIGRFAM penicillin-binding protein, 1A family	mrcA	-	2.4.1.129,3.4.16.4	ko:K05366	ko00550,ko01100,ko01501,map00550,map01100,map01501	-	-	-	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	PCB_OB,Transgly,Transpeptidase
tr|A0A4P6X0P9|A0A4P6X0P9_HYDPS	232721.Ajs_3235	7.9e-205	719.5	COG0136@1|root,COG0136@2|Bacteria,1MUHG@1224|Proteobacteria,2VH2N@28216|Betaproteobacteria,4AAJE@80864|Comamonadaceae	28216|Betaproteobacteria	E	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate	asd	-	1.2.1.11	ko:K00133	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230	M00016,M00017,M00018,M00033,M00525,M00526,M00527	R02291	RC00684	ko00000,ko00001,ko00002,ko01000	-	-	-	Semialdhyde_dh,Semialdhyde_dhC
tr|A0A4P6X1C9|A0A4P6X1C9_HYDPS	365044.Pnap_0781	1.6e-110	405.6	COG0500@1|root,COG2226@2|Bacteria,1MX8I@1224|Proteobacteria,2VHBM@28216|Betaproteobacteria,4AAFZ@80864|Comamonadaceae	28216|Betaproteobacteria	H	Methyltransferase required for the conversion of demethylmenaquinol (DMKH2) to menaquinol (MKH2) and the conversion of 2-polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2- polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol (DMQH2)	ubiE	-	2.1.1.163,2.1.1.201	ko:K03183	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00116,M00117	R04990,R04993,R06859,R08774,R09736	RC00003,RC01253,RC01662	ko00000,ko00001,ko00002,ko01000	-	-	-	Ubie_methyltran
tr|A0A4P6X4F6|A0A4P6X4F6_HYDPS	358220.C380_07950	2.2e-304	1050.8	COG0504@1|root,COG0504@2|Bacteria,1MUIT@1224|Proteobacteria,2VHVA@28216|Betaproteobacteria,4AAW3@80864|Comamonadaceae	28216|Betaproteobacteria	F	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates	pyrG	GO:0001775,GO:0002376,GO:0003674,GO:0003824,GO:0003883,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006213,GO:0006220,GO:0006221,GO:0006241,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008283,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009163,GO:0009165,GO:0009199,GO:0009201,GO:0009208,GO:0009209,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0015949,GO:0016874,GO:0016879,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0032943,GO:0034404,GO:0034641,GO:0034654,GO:0042098,GO:0042100,GO:0042110,GO:0042113,GO:0042221,GO:0042455,GO:0042493,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0045321,GO:0046036,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0046649,GO:0046651,GO:0050896,GO:0055086,GO:0070661,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	6.3.4.2	ko:K01937	ko00240,ko01100,map00240,map01100	M00052	R00571,R00573	RC00010,RC00074	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_synth_N,GATase
tr|A0A4V1ABB6|A0A4V1ABB6_HYDPS	1100721.ALKO01000021_gene728	2.2e-214	751.5	COG0172@1|root,COG0172@2|Bacteria,1MUJF@1224|Proteobacteria,2VHJJ@28216|Betaproteobacteria,4AAXF@80864|Comamonadaceae	28216|Betaproteobacteria	J	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)	serS	-	6.1.1.11	ko:K01875	ko00970,map00970	M00359,M00360	R03662,R08218	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Seryl_tRNA_N,tRNA-synt_2b
tr|A0A4P6WYM2|A0A4P6WYM2_HYDPS	1276756.AUEX01000018_gene2977	5.5e-189	666.8	COG0059@1|root,COG0059@2|Bacteria,1MV7M@1224|Proteobacteria,2VIQ5@28216|Betaproteobacteria,4AB67@80864|Comamonadaceae	28216|Betaproteobacteria	H	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate	ilvC	-	1.1.1.86	ko:K00053	ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R03051,R04439,R04440,R05068,R05069,R05071	RC00726,RC00836,RC00837,RC01726	ko00000,ko00001,ko00002,ko01000	-	-	-	IlvC,IlvN
tr|A0A4P6X937|A0A4P6X937_HYDPS	365046.Rta_02280	1.8e-113	415.6	COG0289@1|root,COG0289@2|Bacteria,1MUCT@1224|Proteobacteria,2VJC3@28216|Betaproteobacteria,4AAJX@80864|Comamonadaceae	28216|Betaproteobacteria	E	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate	dapB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008839,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576	1.17.1.8	ko:K00215	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00525,M00526,M00527	R04198,R04199	RC00478	ko00000,ko00001,ko00002,ko01000	-	-	-	DapB_C,DapB_N
tr|A0A4V1ABC0|A0A4V1ABC0_HYDPS	397945.Aave_1156	3.1e-197	694.5	COG3844@1|root,COG3844@2|Bacteria,1MUKN@1224|Proteobacteria,2VIP0@28216|Betaproteobacteria,4AAXE@80864|Comamonadaceae	28216|Betaproteobacteria	E	Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3- hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3- hydroxyanthranilic acid (3-OHAA), respectively	kynU	-	3.7.1.3	ko:K01556	ko00380,ko01100,map00380,map01100	M00038	R00987,R02668,R03936	RC00284,RC00415	ko00000,ko00001,ko00002,ko01000	-	-	-	Aminotran_5
tr|A0A4P6X4E8|A0A4P6X4E8_HYDPS	365046.Rta_07360	8.7e-163	580.1	COG0617@1|root,COG0617@2|Bacteria,1MU2X@1224|Proteobacteria,2VIN5@28216|Betaproteobacteria,4AAWR@80864|Comamonadaceae	28216|Betaproteobacteria	J	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate. Also shows phosphatase, 2'- nucleotidase and 2',3'-cyclic phosphodiesterase activities. These phosphohydrolase activities are probably involved in the repair of the tRNA 3'-CCA terminus degraded by intracellular RNases	cca	-	2.7.7.72	ko:K00974	ko03013,map03013	-	R09382,R09383,R09384,R09386	RC00078	ko00000,ko00001,ko01000,ko03016	-	-	-	HD,PolyA_pol,PolyA_pol_RNAbd
tr|A0A4P6WU91|A0A4P6WU91_HYDPS	358220.C380_07450	4.3e-184	650.6	COG0473@1|root,COG0473@2|Bacteria,1MUH4@1224|Proteobacteria,2VH2M@28216|Betaproteobacteria,4AAYY@80864|Comamonadaceae	28216|Betaproteobacteria	C	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate	leuB	GO:0003674,GO:0003824,GO:0003862,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006551,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.85	ko:K00052	ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230	M00432,M00535	R00994,R04426,R10052	RC00084,RC00417,RC03036	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Iso_dh
tr|A0A4P6WU77|A0A4P6WU77_HYDPS	987059.RBXJA2T_14491	3.3e-201	707.6	COG0205@1|root,COG0205@2|Bacteria,1MVN3@1224|Proteobacteria,2VK7J@28216|Betaproteobacteria,1KJVF@119065|unclassified Burkholderiales	28216|Betaproteobacteria	H	Catalyzes the phosphorylation of D-fructose 6-phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP-dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis. Consistently, PPi-PFK can replace the enzymes of both the forward (ATP-PFK) and reverse (fructose-bisphosphatase (FBPase)) reactions	pfp	-	2.7.1.11,2.7.1.90	ko:K21071	ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130	-	R00756,R00764,R02073,R03236,R04779	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PFK
tr|A0A4P6WW30|A0A4P6WW30_HYDPS	864051.BurJ1DRAFT_2073	5.2e-296	1023.5	COG5009@1|root,COG5009@2|Bacteria,1MU5A@1224|Proteobacteria,2VNQR@28216|Betaproteobacteria,1KKII@119065|unclassified Burkholderiales	28216|Betaproteobacteria	M	Penicillin-binding protein OB-like domain	-	-	2.4.1.129,3.4.16.4	ko:K05366	ko00550,ko01100,ko01501,map00550,map01100,map01501	-	-	-	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	PCB_OB,Transgly,Transpeptidase
tr|A0A4P6WYE3|A0A4P6WYE3_HYDPS	397945.Aave_2210	0.0	1596.6	COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,2VHT2@28216|Betaproteobacteria,4A9NW@80864|Comamonadaceae	28216|Betaproteobacteria	C	Belongs to the aconitase IPM isomerase family	acnB	-	4.2.1.3,4.2.1.99	ko:K01682	ko00020,ko00630,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00173	R01324,R01325,R01900,R04425	RC00497,RC00498,RC00618,RC01153	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase,Aconitase_2_N,Aconitase_B_N
tr|A0A4P6X4G3|A0A4P6X4G3_HYDPS	1276756.AUEX01000014_gene2866	8.9e-301	1039.6	COG1530@1|root,COG1530@2|Bacteria,1MV65@1224|Proteobacteria,2VIE5@28216|Betaproteobacteria,4ABMR@80864|Comamonadaceae	28216|Betaproteobacteria	J	Endoribonuclease that plays a central role in RNA processing and decay. Required for the maturation of 5S and 16S rRNAs and the majority of tRNAs. Also involved in the degradation of most mRNAs	rne	-	3.1.26.12	ko:K08300	ko03018,map03018	M00394	-	-	ko00000,ko00001,ko00002,ko01000,ko03009,ko03019	-	-	-	RNase_E_G,S1
tr|A0A4P6WY18|A0A4P6WY18_HYDPS	1100720.ALKN01000043_gene2738	2.4e-102	378.6	COG3258@1|root,COG3258@2|Bacteria,1MXB0@1224|Proteobacteria,2VJ8Q@28216|Betaproteobacteria,4AC1N@80864|Comamonadaceae	28216|Betaproteobacteria	C	Thiosulfate-oxidizing multienzyme system protein SoxA	-	-	-	ko:K17222	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002	-	-	-	-
tr|A0A4P6X5A0|A0A4P6X5A0_HYDPS	1100721.ALKO01000015_gene1079	8.5e-145	520.0	COG0042@1|root,COG0042@2|Bacteria,1MUY1@1224|Proteobacteria,2VHCA@28216|Betaproteobacteria,4A9MT@80864|Comamonadaceae	28216|Betaproteobacteria	J	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs	dusA	-	-	ko:K05539	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Dus
tr|A0A4P6X5P0|A0A4P6X5P0_HYDPS	535289.Dtpsy_1021	1.1e-50	205.7	COG3436@1|root,COG3436@2|Bacteria,1RHJ1@1224|Proteobacteria,2VTHQ@28216|Betaproteobacteria,4AEKT@80864|Comamonadaceae	28216|Betaproteobacteria	L	PFAM IS66 Orf2 family protein	-	-	-	-	-	-	-	-	-	-	-	-	TnpB_IS66
tr|A0A4P6WXU8|A0A4P6WXU8_HYDPS	535289.Dtpsy_1020	8.5e-38	162.9	COG2963@1|root,COG2963@2|Bacteria,1N7SX@1224|Proteobacteria,2VVQR@28216|Betaproteobacteria,4AFKH@80864|Comamonadaceae	28216|Betaproteobacteria	L	PFAM transposase IS3 IS911 family protein	-	-	-	ko:K07483	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
tr|A0A4P6X374|A0A4P6X374_HYDPS	1268622.AVS7_02796	1.5e-238	832.0	COG2433@1|root,COG2433@2|Bacteria,1RJ1Q@1224|Proteobacteria,2VKSJ@28216|Betaproteobacteria,4ACTJ@80864|Comamonadaceae	28216|Betaproteobacteria	L	PFAM transposase IS66	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_IS66,DDE_Tnp_IS66_C,LZ_Tnp_IS66,zf-IS66
tr|A0A4P6WZC6|A0A4P6WZC6_HYDPS	365044.Pnap_3556	4.3e-203	714.1	COG3666@1|root,COG3666@2|Bacteria,1N3QR@1224|Proteobacteria,2VIE4@28216|Betaproteobacteria,4AJH7@80864|Comamonadaceae	28216|Betaproteobacteria	L	Transposase domain (DUF772)	-	-	-	ko:K07487	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DDE_Tnp_1_6,DUF772
tr|A0A4P6WW81|A0A4P6WW81_HYDPS	1268622.AVS7_02795	5.7e-93	347.1	COG4974@1|root,COG4974@2|Bacteria,1MZES@1224|Proteobacteria,2VU6S@28216|Betaproteobacteria,4AHYI@80864|Comamonadaceae	28216|Betaproteobacteria	L	Plasmid pRiA4b ORF-3-like protein	-	-	-	-	-	-	-	-	-	-	-	-	PRiA4_ORF3
tr|A0A4P6X1Y6|A0A4P6X1Y6_HYDPS	1458427.BAWN01000021_gene1301	6.5e-61	240.4	COG0835@1|root,COG0835@2|Bacteria,1RD1W@1224|Proteobacteria,2VR41@28216|Betaproteobacteria,4ADEE@80864|Comamonadaceae	28216|Betaproteobacteria	NT	PFAM CheW domain protein	cheW-1	-	-	ko:K03408	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	CheW
tr|A0A4P6X2C5|A0A4P6X2C5_HYDPS	1100721.ALKO01000008_gene2698	8.6e-218	762.7	COG0050@1|root,COG0050@2|Bacteria,1MVC0@1224|Proteobacteria,2VH5D@28216|Betaproteobacteria,4AC3H@80864|Comamonadaceae	28216|Betaproteobacteria	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
